longitude,latitude,scrape_time
-5.53033,50.11934,2020-11-13T11:20:04Z
-5.53033,50.11934,2020-11-13T10:20:04Z
-5.53033,50.11934,2020-11-13T09:20:04Z
-5.53033,50.11934,2020-11-13T08:20:03Z
-5.53033,50.11934,2020-11-13T07:20:03Z
-5.53033,50.11934,2020-11-13T06:20:04Z
-5.53033,50.1195,2020-11-13T05:20:04Z
-5.53033,50.1195,2020-11-13T04:20:03Z
-5.53033,50.1195,2020-11-13T03:20:04Z
-5.53033,50.11934,2020-11-13T02:20:04Z
-5.53033,50.11934,2020-11-13T01:20:04Z
-5.53033,50.11934,2020-11-13T00:20:04Z
-5.53033,50.1195,2020-11-12T23:20:04Z
-5.53033,50.1195,2020-11-12T22:20:03Z
-5.53033,50.11934,2020-11-12T21:20:04Z
-5.53033,50.11934,2020-11-12T20:20:04Z
-5.53033,50.11934,2020-11-12T19:20:03Z
-5.53033,50.1193,2020-11-12T18:20:03Z
-5.53033,50.1195,2020-11-12T17:20:04Z
-5.53033,50.11934,2020-11-12T16:20:04Z
-5.53033,50.11934,2020-11-12T15:20:04Z
-5.53033,50.11934,2020-11-12T14:20:04Z
-5.53033,50.11934,2020-11-12T13:20:03Z
-5.5305,50.1195,2020-11-12T12:20:03Z
-5.5305,50.1195,2020-11-12T11:20:03Z
-5.53033,50.1195,2020-11-12T10:20:03Z
-5.53033,50.1195,2020-11-12T09:20:04Z
-5.53033,50.11934,2020-11-12T08:20:04Z
-5.53033,50.1195,2020-11-12T07:20:03Z
-5.5305,50.11934,2020-11-12T06:20:04Z
-5.53033,50.1195,2020-11-12T05:20:04Z
-5.53033,50.11934,2020-11-12T04:20:03Z
-5.53033,50.11934,2020-11-12T03:20:03Z
-5.5305,50.11934,2020-11-12T02:20:03Z
-5.53033,50.1195,2020-11-12T01:20:04Z
-5.53033,50.11934,2020-11-12T00:20:04Z
-5.5305,50.1195,2020-11-11T23:20:04Z
-5.53033,50.1195,2020-11-11T22:20:04Z
-5.53033,50.11934,2020-11-11T21:20:04Z
-5.53033,50.11934,2020-11-11T20:20:04Z
-5.53033,50.11934,2020-11-11T19:20:03Z
-5.53033,50.11934,2020-11-11T18:20:04Z
-5.53033,50.11934,2020-11-11T17:20:04Z
-5.53033,50.11934,2020-11-11T16:20:04Z
-5.53033,50.11934,2020-11-11T15:20:04Z
-5.53033,50.11934,2020-11-11T14:20:04Z
-5.53033,50.11934,2020-11-11T13:20:04Z
-5.53033,50.11934,2020-11-11T12:20:04Z
-5.53033,50.1195,2020-11-11T11:20:04Z
-5.53033,50.11934,2020-11-11T10:20:04Z
-5.53033,50.11934,2020-11-11T09:20:04Z
-5.53033,50.11934,2020-11-11T08:20:03Z
-5.53033,50.11934,2020-11-11T07:20:03Z
-5.53033,50.11934,2020-11-11T06:20:04Z
-5.53033,50.1195,2020-11-11T05:20:03Z
-5.53033,50.1195,2020-11-11T04:20:03Z
-5.53033,50.11934,2020-11-11T03:20:03Z
-5.53033,50.1195,2020-11-11T02:20:03Z
-5.53033,50.1195,2020-11-11T01:20:03Z
-5.53033,50.11934,2020-11-11T00:20:04Z
-5.53033,50.11934,2020-11-10T23:20:03Z
-5.53033,50.11934,2020-11-10T22:20:03Z
-5.53033,50.11934,2020-11-10T21:20:03Z
-5.53033,50.11934,2020-11-10T20:20:03Z
-5.53033,50.11934,2020-11-10T19:20:03Z
-5.53033,50.1195,2020-11-10T18:20:03Z
-5.53033,50.1195,2020-11-10T17:20:04Z
-5.53033,50.1195,2020-11-10T16:20:03Z
-5.53033,50.1195,2020-11-10T15:20:04Z
-5.53033,50.11934,2020-11-10T14:20:04Z
-5.53033,50.11934,2020-11-10T13:20:03Z
-5.53033,50.11934,2020-11-10T12:20:04Z
-5.53033,50.1195,2020-11-10T11:20:03Z
-5.53033,50.1195,2020-11-10T10:20:03Z
-5.53033,50.1195,2020-11-10T09:20:03Z
-5.53033,50.11934,2020-11-10T08:20:04Z
-5.53033,50.11934,2020-11-10T07:20:04Z
-5.53033,50.11934,2020-11-10T06:20:04Z
-5.53033,50.11934,2020-11-10T05:20:03Z
-5.53033,50.11934,2020-11-10T04:20:04Z
-5.53033,50.11934,2020-11-10T03:20:03Z
-5.5305,50.1193,2020-11-10T02:20:03Z
-5.53033,50.11934,2020-11-10T01:20:03Z
-5.53033,50.11934,2020-11-10T00:20:04Z
-5.53033,50.1195,2020-11-09T23:20:04Z
-5.53033,50.11934,2020-11-09T22:20:03Z
-5.53033,50.11934,2020-11-09T21:20:04Z
-5.53033,50.1195,2020-11-09T20:20:03Z
-5.53033,50.11934,2020-11-09T19:20:05Z
-5.53033,50.11934,2020-11-09T18:20:04Z
-5.53033,50.11934,2020-11-09T17:20:04Z
-5.53033,50.11934,2020-11-09T16:20:04Z
-5.53033,50.11934,2020-11-09T15:20:03Z
-5.53033,50.1195,2020-11-09T14:20:03Z
-5.53033,50.1195,2020-11-09T13:20:03Z
-5.53033,50.1193,2020-11-09T12:20:03Z
-5.53033,50.11934,2020-11-09T11:20:03Z
-5.53033,50.11934,2020-11-09T10:20:04Z
-5.53033,50.11934,2020-11-09T09:20:03Z
-5.53033,50.1195,2020-11-09T08:20:03Z
-5.53033,50.1195,2020-11-09T07:20:03Z
-5.53033,50.11934,2020-11-09T06:20:06Z
-5.53033,50.1195,2020-11-09T05:20:04Z
-5.53033,50.11934,2020-11-09T04:20:04Z
-5.53033,50.11934,2020-11-09T03:20:04Z
-5.5305,50.11934,2020-11-09T02:20:04Z
-5.53033,50.1195,2020-11-09T01:20:04Z
-5.53033,50.11934,2020-11-09T00:20:03Z
-5.53033,50.1195,2020-11-08T23:20:04Z
-5.53033,50.1195,2020-11-08T22:20:04Z
-5.53033,50.1195,2020-11-08T21:20:04Z
-5.53033,50.1195,2020-11-08T20:20:04Z
-5.53033,50.11934,2020-11-08T19:20:04Z
-5.53033,50.11934,2020-11-08T18:20:04Z
-5.53033,50.1195,2020-11-08T17:20:03Z
-5.53033,50.1195,2020-11-08T16:20:04Z
-5.53033,50.1195,2020-11-08T15:20:05Z
-5.53033,50.1195,2020-11-08T14:20:04Z
-5.53033,50.1195,2020-11-08T13:20:04Z
-5.53033,50.11934,2020-11-08T12:20:03Z
-5.53033,50.1195,2020-11-08T11:20:03Z
-5.53033,50.1195,2020-11-08T10:20:04Z
-5.53033,50.11934,2020-11-08T09:20:04Z
-5.5305,50.11934,2020-11-08T08:20:04Z
-5.53033,50.11934,2020-11-08T07:20:03Z
-5.53033,50.11934,2020-11-08T06:20:04Z
-5.53033,50.11934,2020-11-08T05:20:04Z
-5.53033,50.11934,2020-11-08T04:20:04Z
-5.53033,50.1195,2020-11-08T03:20:03Z
-5.53033,50.1195,2020-11-08T02:20:04Z
-5.53033,50.11934,2020-11-08T01:20:04Z
-5.53033,50.1195,2020-11-08T00:20:04Z
-5.53033,50.11934,2020-11-07T23:20:04Z
-5.53033,50.1195,2020-11-07T22:20:04Z
-5.53033,50.1195,2020-11-07T21:20:04Z
-5.53033,50.11934,2020-11-07T20:20:03Z
-5.53033,50.1195,2020-11-07T19:20:03Z
-5.53033,50.11934,2020-11-07T18:20:04Z
-5.53033,50.1195,2020-11-07T17:20:04Z
-5.53033,50.1195,2020-11-07T16:20:04Z
-5.53033,50.1195,2020-11-07T15:20:04Z
-5.53033,50.1195,2020-11-07T14:20:03Z
-5.53033,50.11934,2020-11-07T13:20:04Z
-5.53033,50.1195,2020-11-07T12:20:03Z
-5.53033,50.1195,2020-11-07T11:20:03Z
-5.53033,50.1195,2020-11-07T10:20:03Z
-5.53033,50.11934,2020-11-07T09:20:03Z
-5.53033,50.1195,2020-11-07T08:20:04Z
-5.53033,50.1195,2020-11-07T07:20:04Z
-5.53033,50.1195,2020-11-07T06:20:04Z
-5.53033,50.1195,2020-11-07T05:20:04Z
-5.53033,50.1195,2020-11-07T04:20:03Z
-5.53033,50.1195,2020-11-07T03:20:04Z
-5.53033,50.11934,2020-11-07T02:20:04Z
-5.5305,50.11934,2020-11-07T01:20:04Z
-5.53033,50.11934,2020-11-07T00:20:03Z
-5.53033,50.1195,2020-11-06T23:20:03Z
-5.53033,50.1195,2020-11-06T22:20:03Z
-5.53033,50.1195,2020-11-06T21:20:03Z
-5.53033,50.11934,2020-11-06T20:20:03Z
-5.53033,50.11934,2020-11-06T19:20:03Z
-5.53033,50.1195,2020-11-06T18:20:04Z
-5.53033,50.1195,2020-11-06T17:20:03Z
-5.53033,50.11934,2020-11-06T16:20:03Z
-5.53033,50.11934,2020-11-06T15:20:04Z
-5.53033,50.11934,2020-11-06T14:20:03Z
-5.53033,50.11934,2020-11-06T13:20:03Z
-5.53033,50.11934,2020-11-06T12:20:03Z
-5.53033,50.11934,2020-11-06T11:20:03Z
-5.53033,50.11934,2020-11-06T10:20:03Z
-5.53033,50.11934,2020-11-06T09:20:04Z
-5.53033,50.11934,2020-11-06T08:20:04Z
-5.53033,50.1195,2020-11-06T07:20:04Z
-5.53033,50.11934,2020-11-06T06:20:03Z
-5.53033,50.11934,2020-11-06T05:20:03Z
-5.53033,50.1195,2020-11-06T04:20:04Z
-5.53033,50.1195,2020-11-06T03:20:04Z
-5.53033,50.11934,2020-11-06T02:20:03Z
-5.53033,50.1195,2020-11-06T01:20:03Z
-5.53033,50.1195,2020-11-06T00:20:03Z
-5.53033,50.1195,2020-11-05T23:20:04Z
-5.53033,50.11934,2020-11-05T22:20:03Z
-5.53033,50.1195,2020-11-05T21:20:03Z
-5.53033,50.11934,2020-11-05T20:20:04Z
-5.5305,50.11934,2020-11-05T19:20:04Z
-5.5305,50.11934,2020-11-05T18:20:03Z
-5.5305,50.11934,2020-11-05T17:20:04Z
-5.5305,50.11934,2020-11-05T16:20:04Z
-5.53033,50.1195,2020-11-05T15:20:04Z
-5.53033,50.1195,2020-11-05T14:20:04Z
-5.53033,50.11934,2020-11-05T13:20:04Z
-5.53033,50.1195,2020-11-05T12:20:04Z
-5.53033,50.1195,2020-11-05T11:20:04Z
-5.5305,50.1195,2020-11-05T10:20:04Z
-5.53033,50.11934,2020-11-05T09:20:04Z
-5.53033,50.11934,2020-11-05T08:20:04Z
-5.53033,50.11934,2020-11-05T07:20:03Z
-5.53033,50.11934,2020-11-05T06:20:04Z
-5.53033,50.11934,2020-11-05T05:20:04Z
-5.53033,50.11934,2020-11-05T04:20:04Z
-5.53033,50.11934,2020-11-05T03:20:03Z
-5.53033,50.11934,2020-11-05T02:20:03Z
-5.53033,50.11934,2020-11-05T01:20:04Z
-5.53033,50.11934,2020-11-05T00:20:04Z
-5.53033,50.11934,2020-11-04T23:20:04Z
-5.53033,50.11934,2020-11-04T22:20:04Z
-5.53033,50.11934,2020-11-04T21:20:03Z
-5.53033,50.1195,2020-11-04T20:20:04Z
-5.53033,50.11934,2020-11-04T19:20:04Z
-5.53033,50.11934,2020-11-04T18:20:04Z
-5.53033,50.11934,2020-11-04T17:20:03Z
-5.53033,50.11934,2020-11-04T16:20:04Z
-5.53033,50.1195,2020-11-04T15:20:04Z
-5.53033,50.1195,2020-11-04T14:20:03Z
-5.53033,50.1195,2020-11-04T13:20:03Z
-5.53033,50.11934,2020-11-04T12:20:03Z
-5.53033,50.11934,2020-11-04T11:20:03Z
-5.53033,50.11934,2020-11-04T10:20:04Z
-5.53033,50.11934,2020-11-04T09:20:04Z
-5.53033,50.1195,2020-11-04T08:20:03Z
-5.53033,50.1195,2020-11-04T07:20:03Z
-5.53033,50.11934,2020-11-04T06:20:03Z
-5.53033,50.11934,2020-11-04T05:20:03Z
